Номер	Год	Цена	Топливо	Объем	Мощность	Коробка	Привод	Цвет	Пробег	Руль	Поколение
148	2014	1490000	бензин	2.5	169	вариатор	4WD	черный	118000	левый	2 поколение, рестайлинг
149	2015	1650000	бензин	2.0	147	вариатор	4WD	белый	225000	правый	3 поколение
150	2017	1780000	бензин	2.0	144	вариатор	4WD	зеленый	99000	левый	3 поколение, рестайлинг
151	2010	995000	бензин	2.5	169	вариатор	4WD	черный	178000	левый	2 поколение
152	2015	1620000	бензин	2.0	144	вариатор	4WD	серый	105000	левый	3 поколение
153	2014	1197000	бензин	2.5	169	вариатор	4WD	серый	119000	левый	2 поколение, рестайлинг
154	2017	1630000	бензин	2.0	144	вариатор	4WD	серебристый	137000	левый	3 поколение
155	2006	630000	бензин	2.5	165	АКПП	4WD	красный	234000	левый	1 поколение, рестайлинг
156	2011	1250000	бензин	2.0	137	вариатор	4WD	серебристый	147000	правый	2 поколение, рестайлинг
157	2021	2900000	дизель	1.6	130	механика	4WD	синий	1600	левый	3 поколение, рестайлинг
158	2007	750000	бензин	2.0	141	вариатор	4WD	золотистый	180000	левый	2 поколение
159	2019	2270000	бензин	2.0	144	вариатор	4WD	синий	80300	левый	3 поколение, рестайлинг
160	2015	1350000	бензин	2.0	144	вариатор	передний	серебристый	138000	левый	3 поколение
161	2006	680000	бензин	2.0	140	АКПП	4WD	серый	352447	левый	1 поколение, рестайлинг
162	2011	1077000	бензин	2.5	169	вариатор	4WD	серый	164000	левый	2 поколение
163	2017	1400000	бензин	2.0	144	вариатор	4WD	черный	200000	левый	3 поколение
164	2001	365000	бензин	2.0	150	механика	4WD	серый	280000	правый	1 поколение
165	2017	1850000	бензин	2.5	171	вариатор	4WD	зеленый	118500	левый	3 поколение
166	2010	980000	дизель	2.0	150	АКПП	4WD	фиолетовый	330503	левый	2 поколение
167	2018	1890000	бензин	2.0	147	вариатор	4WD	черный	81000	правый	3 поколение, рестайлинг
168	2014	1490000	бензин	2.5	169	вариатор	4WD	черный	118000	левый	2 поколение, рестайлинг
169	2015	1650000	бензин	2.0	147	вариатор	4WD	белый	225000	правый	3 поколение
170	2017	1780000	бензин	2.0	144	вариатор	4WD	зеленый	99000	левый	3 поколение, рестайлинг
171	2010	995000	бензин	2.5	169	вариатор	4WD	черный	178000	левый	2 поколение
172	2015	1620000	бензин	2.0	144	вариатор	4WD	серый	105000	левый	3 поколение
173	2014	1197000	бензин	2.5	169	вариатор	4WD	серый	119000	левый	2 поколение, рестайлинг
174	2017	1630000	бензин	2.0	144	вариатор	4WD	серебристый	137000	левый	3 поколение
175	2006	630000	бензин	2.5	165	АКПП	4WD	красный	234000	левый	1 поколение, рестайлинг
176	2011	1250000	бензин	2.0	137	вариатор	4WD	серебристый	147000	правый	2 поколение, рестайлинг
177	2021	2900000	дизель	1.6	130	механика	4WD	синий	1600	левый	3 поколение, рестайлинг
178	2007	750000	бензин	2.0	141	вариатор	4WD	золотистый	180000	левый	2 поколение
179	2019	2270000	бензин	2.0	144	вариатор	4WD	синий	80300	левый	3 поколение, рестайлинг
180	2015	1350000	бензин	2.0	144	вариатор	передний	серебристый	138000	левый	3 поколение
181	2007	889000	бензин	2.5	169	вариатор	4WD	черный	327000	левый	2 поколение
182	2017	1780000	бензин	2.0	147	вариатор	4WD	черный	127000	правый	3 поколение, рестайлинг
183	2008	865000	бензин	2.5	169	вариатор	4WD	черный	308000	левый	2 поколение
184	2009	935000	дизель	2.0	150	АКПП	4WD	черный	333000	левый	2 поколение
185	2008	920000	бензин	2.0	141	вариатор	4WD	коричневый	235520	левый	2 поколение
186	2011	1250000	бензин	2.0	141	механика	4WD	золотистый	112532	левый	2 поколение, рестайлинг
187	2010	1000000	бензин	2.0	141	вариатор	4WD	черный	175000	левый	2 поколение
188	2008	900000	бензин	2.0	137	вариатор	4WD	серый	271000	правый	2 поколение
189	2011	1150000	бензин	2.0	141	вариатор	4WD	серый	124000	левый	2 поколение, рестайлинг
190	2008	820000	бензин	2.0	141	вариатор	4WD	черный	250000	левый	2 поколение
191	2008	940000	бензин	2.5	169	вариатор	4WD	серый	191777	левый	2 поколение
192	2016	1665000	бензин	2.0	147	вариатор	4WD	синий	84000	правый	3 поколение
193	2018	1950000	бензин	2.0	144	вариатор	4WD	серый	108000	левый	3 поколение
194	2019	2170000	бензин	2.0	144	вариатор	4WD	белый	77000	левый	3 поколение, рестайлинг
195	2015	1555000	бензин	2.0	147	вариатор	4WD	белый	103000	правый	3 поколение
196	2011	899000	дизель	2.0	150	АКПП	4WD	серый	268000	левый	2 поколение, рестайлинг
197	2003	450000	бензин	2.0	150	АКПП	4WD	красный	315000	правый	1 поколение, рестайлинг
198	2010	945000	бензин	2.0	141	вариатор	4WD	бордовый	180126	левый	2 поколение
199	2001	499000	бензин	2.0	150	АКПП	передний	серый	265000	правый	1 поколение
200	2021	2790000	бензин	2.0	144	вариатор	4WD	синий	22900	левый	3 поколение, рестайлинг
201	2012	1177000	бензин	2.5	169	вариатор	4WD	черный	203000	левый	2 поколение, рестайлинг
202	2007	420000	бензин	2.5	169	вариатор	4WD	серый	185000	левый	2 поколение
203	2007	950000	бензин	2.0	141	вариатор	4WD	черный	200000	левый	2 поколение
204	2015	1350000	бензин	2.0	144	вариатор	4WD	черный	279000	левый	3 поколение
205	2004	300000	бензин	2.0	140	АКПП	4WD	серый	200000	левый	1 поколение, рестайлинг
206	2019	2390000	бензин	2.0	144	вариатор	4WD	белый	36000	левый	3 поколение, рестайлинг
207	2011	1090000	бензин	2.5	169	вариатор	4WD	серый	161000	левый	2 поколение, рестайлинг
208	2006	600000	бензин	2.5	165	АКПП	4WD	черный	260000	левый	1 поколение, рестайлинг
209	2011	1100000	бензин	2.5	169	вариатор	4WD	черный	175000	левый	2 поколение, рестайлинг
210	2007	860000	бензин	2.5	169	вариатор	4WD	черный	255000	левый	2 поколение
211	2015	1510000	бензин	2.0	147	вариатор	4WD	черный	91000	правый	3 поколение
212	2019	2000000	бензин	2.0	147	вариатор	4WD	черный	28000	правый	3 поколение, рестайлинг
213	2007	840000	бензин	2.0	137	вариатор	4WD	черный	220000	правый	2 поколение
214	2021	2700000	бензин	2.0	144	вариатор	4WD	зеленый	22000	левый	3 поколение, рестайлинг
215	2002	520000	бензин	2.0	140	АКПП	4WD	бордовый	307000	левый	1 поколение
216	2011	1175000	бензин	2.0	137	вариатор	передний	серый	137000	правый	2 поколение, рестайлинг
217	2011	997000	бензин	2.0	141	вариатор	4WD	серый	137000	левый	2 поколение, рестайлинг
218	2010	1000000	бензин	2.5	169	вариатор	4WD	серый	130000	левый	2 поколение
219	2010	1077000	бензин	2.5	169	вариатор	4WD	серый	211000	левый	2 поколение, рестайлинг
220	2011	997000	бензин	2.5	169	вариатор	4WD	серебристый	175000	левый	2 поколение
221	2008	970000	бензин	2.0	141	вариатор	4WD	черный	237000	левый	2 поколение
